Startup_Name,Industry,Target_Market,Product_Focus,Outcome,Launch_Year,Core_Problem,Solution,Feasibility_Score,Innovation_Score,Risk_Score
FreshToHome,D2C,B2C,Seafood & Meat,Success,2015,Disjointed data silos in seafood & meat reduce operational efficiency.,"A highly intuitive, cloud-native seafood & meat platform.",0.89,0.7,0.27
Melorra,D2C,B2C,Lightweight Jewelry,Active/Growing,2016,Current lightweight jewelry systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies lightweight jewelry data.,0.71,0.58,0.48
Wakefit,D2C,B2C,Sleep Solutions,Success,2016,Current sleep solutions systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies sleep solutions data.,0.78,0.7,0.27
SleepyCat,D2C,B2C,Mattresses in a Box,Active/Growing,2017,Enterprise teams spend 30% of their time manually managing mattresses in a box.,An AI-powered dashboard that unifies mattresses in a box data.,0.63,0.55,0.39
Bombay Shaving Company,D2C,B2C,Men's Grooming,Active/Growing,2015,Current men's grooming systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native men's grooming platform.",0.68,0.52,0.51
Plum,D2C,B2C,Vegan Cosmetics,Active/Growing,2014,Enterprise teams spend 30% of their time manually managing vegan cosmetics.,No-code drag-and-drop tool for vegan cosmetics.,0.65,0.8,0.52
OfBusiness,B2B Marketplace,B2B,Raw Material Procurement,Success,2015,SMEs waste 20 hours a week sourcing raw material procurement.,Digital supply chain utilizing AI for raw material procurement forecasting.,0.95,0.76,0.43
Zetwerk,B2B Marketplace,B2B,Custom Manufacturing,Success,2018,Lack of working capital integration for custom manufacturing buyers.,Digital supply chain utilizing AI for custom manufacturing forecasting.,0.93,0.86,0.45
Infra.Market,B2B Marketplace,B2B,Construction Materials,Success,2016,Opaque pricing and unreliable supply in bulk construction materials.,Aggregated procurement platform for construction materials with embedded credit.,0.78,0.71,0.44
Moglix,B2B Marketplace,B2B,Industrial Goods,Success,2015,Opaque pricing and unreliable supply in bulk industrial goods.,Digital supply chain utilizing AI for industrial goods forecasting.,0.88,0.82,0.22
Bizongo,B2B Marketplace,B2B,Packaging Solutions,Success,2015,Opaque pricing and unreliable supply in bulk packaging solutions.,A centralized B2B platform with transparent pricing for packaging solutions.,0.74,0.75,0.26
Spinny,E-commerce,B2C,Used Cars,Success,2015,Tier 2/3 cities lack access to authentic used cars online.,Social commerce platform using WhatsApp for used cars.,0.95,0.84,0.43
Cars24,E-commerce,B2C,Used Cars,Success,2015,Traditional retailers cannot compete with massive aggregators in used cars.,An integrated marketplace that ships used cars directly from manufacturers.,0.87,0.84,0.25
Droom,E-commerce,B2C,Automobile Marketplace,Success,2014,Traditional retailers cannot compete with massive aggregators in automobile marketplace.,An integrated marketplace that ships automobile marketplace directly from manufacturers.,0.92,0.82,0.39
Unacademy,Edtech,B2C,Test Prep,Success,2015,Lack of personalized feedback in mass test prep coaching.,"Live, interactive test prep taught by top 1% educators.",0.86,0.67,0.26
PhysicsWallah,Edtech,B2C,Affordable Education,Success,2020,Outdated curriculums fail to teach affordable education effectively.,Gamified mobile app teaching affordable education through micro-lessons.,0.88,0.61,0.33
Vedantu,Edtech,B2C,Live Tutoring,Success,2014,Lack of personalized feedback in mass live tutoring coaching.,Gamified mobile app teaching live tutoring through micro-lessons.,0.79,0.79,0.4
UpGrad,Edtech,B2C,Higher Education,Success,2015,Lack of personalized feedback in mass higher education coaching.,"Live, interactive higher education taught by top 1% educators.",0.91,0.65,0.38
Eruditus,Edtech,B2C,Executive Education,Success,2015,Lack of personalized feedback in mass executive education coaching.,"Live, interactive executive education taught by top 1% educators.",0.79,0.89,0.28
Simplilearn,Edtech,B2C,Certifications,Success,2015,Lack of personalized feedback in mass certifications coaching.,Gamified mobile app teaching certifications through micro-lessons.,0.75,0.62,0.28
Cuemath,Edtech,B2C,Math Tutoring,Active/Growing,2013,High-quality math tutoring is too expensive for the 99% in Tier 3 cities.,Cohort-based courses focusing purely on math tutoring.,0.81,0.76,0.57
Doubtnut,Edtech,B2C,Doubt Resolution,Acquired,2016,Outdated curriculums fail to teach doubt resolution effectively.,Gamified mobile app teaching doubt resolution through micro-lessons.,0.65,0.61,0.54
Classplus,Edtech,B2B,Educator Tools,Success,2018,High-quality educator tools is too expensive for the 99% in Tier 3 cities.,"Live, interactive educator tools taught by top 1% educators.",0.76,0.75,0.4
Teachmint,Edtech,B2B,Teaching Infrastructure,Success,2020,Outdated curriculums fail to teach teaching infrastructure effectively.,"Live, interactive teaching infrastructure taught by top 1% educators.",0.95,0.73,0.37
Xpressbees,Logistics,B2B,End-to-end Logistics,Success,2015,Lack of visibility and real-time tracking for end-to-end logistics.,Dark-store network ensuring 10-minute delivery for end-to-end logistics.,0.78,0.84,0.22
Shadowfax,Logistics,B2B2C,Last-mile Delivery,Success,2015,High RTO (Return to Origin) rates and slow delivery in last-mile delivery.,IoT sensors heavily tracking temperature and location for last-mile delivery.,0.76,0.83,0.42
Freight Tiger,Logistics,B2B,Freight Management,Active/Growing,2014,Lack of visibility and real-time tracking for freight management.,IoT sensors heavily tracking temperature and location for freight management.,0.74,0.6,0.45
BlackBuck,Logistics,B2B,Trucking Network,Success,2015,High inter-city freight costs for trucking network.,Asset-light tech network optimizing paths for trucking network.,0.9,0.68,0.3
Rivigo,Logistics,B2B,Relay Trucking,Struggling,2014,High inter-city freight costs for relay trucking.,Asset-light tech network optimizing paths for relay trucking.,0.5,0.32,0.79
Shiprocket,Logistics,B2B,E-commerce Shipping,Success,2017,Lack of visibility and real-time tracking for e-commerce shipping.,IoT sensors heavily tracking temperature and location for e-commerce shipping.,0.85,0.79,0.37
ElasticRun,Logistics,B2B,Kirana Network,Success,2015,Lack of visibility and real-time tracking for kirana network.,IoT sensors heavily tracking temperature and location for kirana network.,0.75,0.66,0.4
Ola Electric,Mobility/EV,B2C,Electric Scooters,Success,2017,Current electric scooters systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies electric scooters data.,0.62,0.9199999999999999,0.51
Ather Energy,Mobility/EV,B2C,Premium Electric Scooters,Success,2013,Disjointed data silos in premium electric scooters reduce operational efficiency.,"A highly intuitive, cloud-native premium electric scooters platform.",0.63,0.95,0.45999999999999996
Yulu,Mobility/EV,B2C,Micro-mobility,Active/Growing,2017,Current micro-mobility systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native micro-mobility platform.",0.6699999999999999,0.79,0.53
Simple Energy,Mobility/EV,B2C,Electric Vehicles,Active/Growing,2019,Current electric vehicles systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native electric vehicles platform.",0.48,0.9199999999999999,0.47
Bounce,Mobility,B2C,Scooter Rental,Struggling,2014,Disjointed data silos in scooter rental reduce operational efficiency.,"A highly intuitive, cloud-native scooter rental platform.",0.26,0.57,0.93
Vogo,Mobility,B2C,Bike Rental,Acquired,2016,Current bike rental systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native bike rental platform.",0.77,0.62,0.62
Rapido,Mobility,B2C,Bike Taxi,Success,2015,Current bike taxi systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for bike taxi.,0.93,0.7,0.23
Chalo,Mobility,B2C,Bus Tracking,Active/Growing,2014,Current bus tracking systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native bus tracking platform.",0.66,0.77,0.58
Shuttl,Mobility,B2C,Bus Aggregator,Acquired,2015,Disjointed data silos in bus aggregator reduce operational efficiency.,An AI-powered dashboard that unifies bus aggregator data.,0.68,0.46,0.46
BluSmart,Mobility/EV,B2C,EV Ride Hailing,Success,2019,Current ev ride hailing systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies ev ride hailing data.,0.7,0.8600000000000001,0.55
Swiggy,Foodtech,B2C,Food Delivery,Success,2014,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",A massive cloud-kitchen network pumping out high-quality food delivery.,0.93,0.77,0.31
Zepto,Foodtech,B2C,Quick Commerce,Success,2021,High real-estate costs make independent quick commerce unprofitable.,Algorithm-based meal preparation focused on {product_focus.lower()}.,0.94,0.85,0.22
Blinkit,Foodtech,B2C,Quick Commerce,Success,2013,High real-estate costs make independent quick commerce unprofitable.,A massive cloud-kitchen network pumping out high-quality quick commerce.,0.88,0.72,0.22
FreshMenu,Foodtech,B2C,Cloud Kitchen,Struggling,2014,High real-estate costs make independent cloud kitchen unprofitable.,A massive cloud-kitchen network pumping out high-quality cloud kitchen.,0.25,0.41,0.78
Biryani By Kilo,Foodtech,B2C,Premium Delivery,Active/Growing,2015,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",Algorithm-based meal preparation focused on {product_focus.lower()}.,0.8,0.75,0.55
Ninjacart,Agritech,B2B,Fresh Produce Supply Chain,Success,2015,Disjointed data silos in fresh produce supply chain reduce operational efficiency.,"A highly intuitive, cloud-native fresh produce supply chain platform.",0.74,0.7,0.43
AgroStar,Agritech,B2C,Agri Inputs,Active/Growing,2013,Disjointed data silos in agri inputs reduce operational efficiency.,An AI-powered dashboard that unifies agri inputs data.,0.67,0.64,0.47
WayCool,Agritech,B2B,Agri Supply Chain,Success,2015,Current agri supply chain systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for agri supply chain.,0.88,0.86,0.41
Absolute Foods,Agritech,B2B,Precision Agriculture,Active/Growing,2015,Enterprise teams spend 30% of their time manually managing precision agriculture.,No-code drag-and-drop tool for precision agriculture.,0.79,0.65,0.37
Postman,SaaS,B2B,API Platform,Success,2014,Enterprise teams spend 30% of their time manually managing api platform.,No-code drag-and-drop tool for api platform.,0.76,0.65,0.31
Darwinbox,SaaS,B2B,HRMS,Success,2015,Enterprise teams spend 30% of their time manually managing hrms.,No-code drag-and-drop tool for hrms.,0.86,0.87,0.33
Innovaccer,SaaS,B2B,Healthcare Data Platform,Success,2014,Enterprise teams spend 30% of their time manually managing healthcare data platform.,No-code drag-and-drop tool for healthcare data platform.,0.83,0.85,0.3
Whatfix,SaaS,B2B,Digital Adoption,Success,2014,Current digital adoption systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for digital adoption.,0.78,0.89,0.35
MoEngage,SaaS,B2B,Customer Engagement,Success,2014,Enterprise teams spend 30% of their time manually managing customer engagement.,An AI-powered dashboard that unifies customer engagement data.,0.94,0.63,0.37
Clevertap,SaaS,B2B,User Retention,Success,2013,Current user retention systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for user retention.,0.88,0.64,0.27
Hasura,SaaS,B2B,GraphQL Engine,Success,2017,Current graphql engine systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for graphql engine.,0.78,0.89,0.4
Yellow.ai,SaaS,B2B,Conversational AI,Success,2016,Disjointed data silos in conversational ai reduce operational efficiency.,"A highly intuitive, cloud-native conversational ai platform.",0.78,0.77,0.26
Haptik,SaaS,B2B,Conversational AI,Acquired,2013,Disjointed data silos in conversational ai reduce operational efficiency.,No-code drag-and-drop tool for conversational ai.,0.78,0.67,0.43
Observe.ai,SaaS,B2B,Contact Center AI,Success,2017,Disjointed data silos in contact center ai reduce operational efficiency.,"A highly intuitive, cloud-native contact center ai platform.",0.76,0.62,0.31
FarEye,SaaS,B2B,Delivery Management,Active/Growing,2013,Enterprise teams spend 30% of their time manually managing delivery management.,No-code drag-and-drop tool for delivery management.,0.8,0.51,0.35
Locus,SaaS,B2B,Supply Chain Intelligence,Active/Growing,2015,Current supply chain intelligence systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native supply chain intelligence platform.",0.78,0.67,0.54
PharmEasy,Healthtech,B2C,Online Pharmacy,Success,2015,Current online pharmacy systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for online pharmacy.,0.93,0.87,0.31
1mg,Healthtech,B2C,E-pharmacy & Diagnostics,Acquired,2015,Enterprise teams spend 30% of their time manually managing e-pharmacy & diagnostics.,An AI-powered dashboard that unifies e-pharmacy & diagnostics data.,0.66,0.48,0.41
Cult.fit,Healthtech,B2C,Fitness Centers,Success,2016,Enterprise teams spend 30% of their time manually managing fitness centers.,"A highly intuitive, cloud-native fitness centers platform.",0.92,0.64,0.38
Wysa,Healthtech,B2C,Mental Health AI,Active/Growing,2015,Enterprise teams spend 30% of their time manually managing mental health ai.,An AI-powered dashboard that unifies mental health ai data.,0.8,0.56,0.36
Qure.ai,Healthtech,B2B,Medical Imaging AI,Success,2016,Current medical imaging ai systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for medical imaging ai.,0.88,0.85,0.37
Mfine,Healthtech,B2C,Teleconsultation,Acquired,2017,Disjointed data silos in teleconsultation reduce operational efficiency.,An AI-powered dashboard that unifies teleconsultation data.,0.69,0.44,0.42
Mobile Premier League,Gaming,B2C,Mobile eSports,Success,2018,Enterprise teams spend 30% of their time manually managing mobile esports.,No-code drag-and-drop tool for mobile esports.,0.84,0.7,0.39
ShareChat,Media,B2C,Vernacular Social Network,Success,2015,Disjointed data silos in vernacular social network reduce operational efficiency.,"A highly intuitive, cloud-native vernacular social network platform.",0.84,0.78,0.3
Glance,Media,B2B2C,Lock Screen Content,Success,2019,Disjointed data silos in lock screen content reduce operational efficiency.,"A highly intuitive, cloud-native lock screen content platform.",0.72,0.85,0.29
Loco,Gaming,B2C,Game Streaming,Active/Growing,2017,Enterprise teams spend 30% of their time manually managing game streaming.,No-code drag-and-drop tool for game streaming.,0.76,0.59,0.39
Rooter,Gaming,B2C,Game Streaming,Active/Growing,2016,Disjointed data silos in game streaming reduce operational efficiency.,"A highly intuitive, cloud-native game streaming platform.",0.69,0.64,0.32
Pratilipi,Media,B2C,Storytelling Platform,Active/Growing,2014,Current storytelling platform systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies storytelling platform data.,0.62,0.79,0.54
Kuku FM,Media,B2C,Audio Content,Success,2018,Current audio content systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for audio content.,0.8,0.81,0.25
Pocket FM,Media,B2C,Audio Series,Success,2018,Disjointed data silos in audio series reduce operational efficiency.,"A highly intuitive, cloud-native audio series platform.",0.93,0.62,0.36
Inc42,Media,B2B,Startup Media,Success,2014,Disjointed data silos in startup media reduce operational efficiency.,"A highly intuitive, cloud-native startup media platform.",0.92,0.82,0.24
Polygon,Web3,B2B,Ethereum Scaling Solutions,Success,2017,Enterprise teams spend 30% of their time manually managing ethereum scaling solutions.,No-code drag-and-drop tool for ethereum scaling solutions.,0.93,0.73,0.25
Biconomy,Web3,B2B,Web3 Infrastructure,Active/Growing,2019,Disjointed data silos in web3 infrastructure reduce operational efficiency.,"A highly intuitive, cloud-native web3 infrastructure platform.",0.85,0.78,0.5
Instadapp,Web3,B2C,DeFi Wallets,Active/Growing,2018,Current defi wallets systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native defi wallets platform.",0.7,0.67,0.45
Urban Company,Services,B2C,Home Services,Success,2014,Current home services systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native home services platform.",0.72,0.7,0.29
Dunzo,Logistics,B2C,Hyperlocal Delivery,Struggling,2015,High inter-city freight costs for hyperlocal delivery.,IoT sensors heavily tracking temperature and location for hyperlocal delivery.,0.32,0.6,0.87
Bounce,Mobility,B2C,Scooter Sharing,Struggling,2014,Enterprise teams spend 30% of their time manually managing scooter sharing.,An AI-powered dashboard that unifies scooter sharing data.,0.35,0.13,0.84
Trell,E-commerce,B2C,Lifestyle Social Commerce,Struggling,2017,Traditional retailers cannot compete with massive aggregators in lifestyle social commerce.,An integrated marketplace that ships lifestyle social commerce directly from manufacturers.,0.39,0.23,0.91
Bulbul,E-commerce,B2C,Live Video Commerce,Dead,2018,Tier 2/3 cities lack access to authentic live video commerce online.,An integrated marketplace that ships live video commerce directly from manufacturers.,0.33,0.19,0.83
Shop101,E-commerce,B2B2C,Social Commerce,Acquired,2015,Tier 2/3 cities lack access to authentic social commerce online.,Social commerce platform using WhatsApp for social commerce.,0.64,0.43,0.55
GlowRoad,E-commerce,B2B2C,Social Commerce,Acquired,2017,Tier 2/3 cities lack access to authentic social commerce online.,An integrated marketplace that ships social commerce directly from manufacturers.,0.54,0.63,0.43
Campuskart,E-commerce,B2C,Student Marketplace,Failed,2016,Tier 2/3 cities lack access to authentic student marketplace online.,D2C brand leveraging Instagram to sell authentic student marketplace.,0.25,0.22,0.84
DrinkPrime,D2C,B2C,Water Purifier Subs,Active/Growing,2016,Disjointed data silos in water purifier subs reduce operational efficiency.,An AI-powered dashboard that unifies water purifier subs data.,0.65,0.56,0.5
AuntieMoms,D2C,B2C,Healthy Snacks,Failed,2018,Enterprise teams spend 30% of their time manually managing healthy snacks.,No-code drag-and-drop tool for healthy snacks.,0.45,0.2,0.95
Rentomojo,E-commerce,B2C,Furniture Rental,Active/Growing,2014,Traditional retailers cannot compete with massive aggregators in furniture rental.,Social commerce platform using WhatsApp for furniture rental.,0.72,0.65,0.44
NoBroker,Proptech,B2C,Zero Brokerage Real Estate,Success,2014,Disjointed data silos in zero brokerage real estate reduce operational efficiency.,"A highly intuitive, cloud-native zero brokerage real estate platform.",0.89,0.88,0.37
Nestaway,Proptech,B2C,Home Rentals,Acquired,2015,Current home rentals systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies home rentals data.,0.6,0.45,0.64
Zolo,Proptech,B2C,Co-living,Active/Growing,2015,Current co-living systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies co-living data.,0.72,0.72,0.36
Stanza Living,Proptech,B2C,Student Co-living,Success,2017,Current student co-living systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies student co-living data.,0.95,0.63,0.39
Square Yards,Proptech,B2C,Real Estate Brokerage,Active/Growing,2014,Current real estate brokerage systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for real estate brokerage.,0.63,0.64,0.47
Livspace,Proptech,B2C,Home Interior,Success,2014,Disjointed data silos in home interior reduce operational efficiency.,"A highly intuitive, cloud-native home interior platform.",0.71,0.82,0.23
HomeLane,Proptech,B2C,Home Design,Active/Growing,2014,Disjointed data silos in home design reduce operational efficiency.,An AI-powered dashboard that unifies home design data.,0.66,0.78,0.54
Signzy,Fintech,B2B,Digital KYC,Active/Growing,2015,Lack of access to digital kyc for the average Indian consumer.,A one-click digital kyc API infrastructure.,0.73,0.7,0.53
M2P Fintech,Fintech,B2B,Banking as a Service,Success,2014,SMEs struggle with localized banking as a service processing without extreme delays.,A consumer-first mobile app democratizing banking as a service.,0.73,0.62,0.31
Setu,Fintech,B2B,API Infrastructure,Acquired,2018,SMEs struggle with localized api infrastructure processing without extreme delays.,AI-driven underwriting to provide instant api infrastructure.,0.7,0.53,0.46
Hyperface,Fintech,B2B,Credit Cards as a Service,Active/Growing,2021,High friction and trust issues in traditional credit cards as a service.,A consumer-first mobile app democratizing credit cards as a service.,0.71,0.53,0.58
Zolve,Fintech,B2C,Global Neobanking,Active/Growing,2020,High friction and trust issues in traditional global neobanking.,AI-driven underwriting to provide instant global neobanking.,0.75,0.63,0.53
Niyo,Fintech,B2C,Digital Banking,Active/Growing,2015,Lack of access to digital banking for the average Indian consumer.,A one-click digital banking API infrastructure.,0.69,0.76,0.59
Fampay,Fintech,B2C,Payments for Teens,Active/Growing,2019,Lack of access to payments for teens for the average Indian consumer.,A consumer-first mobile app democratizing payments for teens.,0.84,0.61,0.57
Walnut,Fintech,B2C,Expense Tracking,Acquired,2014,High friction and trust issues in traditional expense tracking.,AI-driven underwriting to provide instant expense tracking.,0.76,0.5,0.64
AppBrowzer,Tech,B2C,Super App,Failed,2015,Enterprise teams spend 30% of their time manually managing super app.,An AI-powered dashboard that unifies super app data.,0.4,0.37,0.78
TinyOwl,Foodtech,B2C,Food Delivery,Failed,2014,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",Algorithm-based meal preparation focused on {product_focus.lower()}.,0.37,0.59,0.71
Doodhwala,Foodtech,B2C,Milk Delivery,Failed,2015,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",Algorithm-based meal preparation focused on {product_focus.lower()}.,0.37,0.27,0.76
Milkbasket,Foodtech,B2C,Micro-delivery,Acquired,2015,Hyperlocal delivery for micro-delivery takes too long and uses poor packaging.,A massive cloud-kitchen network pumping out high-quality micro-delivery.,0.58,0.45,0.53
Supr Daily,Foodtech,B2C,Morning Delivery,Acquired,2015,High real-estate costs make independent morning delivery unprofitable.,A massive cloud-kitchen network pumping out high-quality morning delivery.,0.69,0.63,0.6
Country Delight,D2C,B2C,Fresh Dairy,Success,2015,Current fresh dairy systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for fresh dairy.,0.74,0.8,0.38
Epigamia,D2C,B2C,Greek Yogurt,Active/Growing,2015,Disjointed data silos in greek yogurt reduce operational efficiency.,"A highly intuitive, cloud-native greek yogurt platform.",0.83,0.57,0.59
Bira 91,D2C,B2C,Craft Beer,Success,2015,Current craft beer systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native craft beer platform.",0.87,0.78,0.39
Paper Boat,D2C,B2C,Traditional Beverages,Success,2013,Current traditional beverages systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies traditional beverages data.,0.76,0.66,0.43
Mensa Brands,E-commerce,B2B,Thrasio Model,Success,2021,Traditional retailers cannot compete with massive aggregators in thrasio model.,An integrated marketplace that ships thrasio model directly from manufacturers.,0.87,0.89,0.43
GlobalBees,E-commerce,B2B,D2C Rollup,Success,2021,Tier 2/3 cities lack access to authentic d2c rollup online.,D2C brand leveraging Instagram to sell authentic d2c rollup.,0.83,0.85,0.42
