Startup_Name,Industry,Target_Market,Product_Focus,Outcome,Launch_Year,Core_Problem,Solution,Feasibility_Score,Innovation_Score,Risk_Score
OfBusiness,B2B Marketplace,B2B,Raw Material Procurement,Success,2015,Lack of working capital integration for raw material procurement buyers.,A centralized B2B platform with transparent pricing for raw material procurement.,0.93,0.76,0.33
Zetwerk,B2B Marketplace,B2B,Custom Manufacturing,Success,2018,Lack of working capital integration for custom manufacturing buyers.,Digital supply chain utilizing AI for custom manufacturing forecasting.,0.78,0.85,0.45
Infra.Market,B2B Marketplace,B2B,Construction Materials,Success,2016,Lack of working capital integration for construction materials buyers.,A centralized B2B platform with transparent pricing for construction materials.,0.82,0.71,0.31
Moglix,B2B Marketplace,B2B,Industrial Goods,Success,2015,Lack of working capital integration for industrial goods buyers.,Aggregated procurement platform for industrial goods with embedded credit.,0.85,0.6,0.21
Bizongo,B2B Marketplace,B2B,Packaging Solutions,Success,2015,Lack of working capital integration for packaging solutions buyers.,Digital supply chain utilizing AI for packaging solutions forecasting.,0.72,0.6,0.39
Spinny,E-commerce,B2C,Used Cars,Success,2015,Fragmented supply chains cause 40% margin loss in used cars.,D2C brand leveraging Instagram to sell authentic used cars.,0.94,0.77,0.32
Cars24,E-commerce,B2C,Used Cars,Success,2015,Fragmented supply chains cause 40% margin loss in used cars.,D2C brand leveraging Instagram to sell authentic used cars.,0.79,0.64,0.26
Droom,E-commerce,B2C,Automobile Marketplace,Success,2014,Tier 2/3 cities lack access to authentic automobile marketplace online.,D2C brand leveraging Instagram to sell authentic automobile marketplace.,0.73,0.6,0.4
Unacademy,Edtech,B2C,Test Prep,Success,2015,Outdated curriculums fail to teach test prep effectively.,"Live, interactive test prep taught by top 1% educators.",0.78,0.69,0.3
PhysicsWallah,Edtech,B2C,Affordable Education,Success,2020,Outdated curriculums fail to teach affordable education effectively.,Gamified mobile app teaching affordable education through micro-lessons.,0.81,0.78,0.37
Vedantu,Edtech,B2C,Live Tutoring,Success,2014,Outdated curriculums fail to teach live tutoring effectively.,Cohort-based courses focusing purely on live tutoring.,0.8,0.77,0.3
UpGrad,Edtech,B2C,Higher Education,Success,2015,Outdated curriculums fail to teach higher education effectively.,Cohort-based courses focusing purely on higher education.,0.95,0.72,0.36
Eruditus,Edtech,B2C,Executive Education,Success,2015,Lack of personalized feedback in mass executive education coaching.,Cohort-based courses focusing purely on executive education.,0.92,0.83,0.24
Simplilearn,Edtech,B2C,Certifications,Success,2015,Outdated curriculums fail to teach certifications effectively.,"Live, interactive certifications taught by top 1% educators.",0.94,0.63,0.3
Lead School,Edtech,B2B,School Management,Success,2012,Outdated curriculums fail to teach school management effectively.,"Live, interactive school management taught by top 1% educators.",0.94,0.67,0.24
Cuemath,Edtech,B2C,Math Tutoring,Active/Growing,2013,Outdated curriculums fail to teach math tutoring effectively.,Cohort-based courses focusing purely on math tutoring.,0.81,0.66,0.56
Camp K12,Edtech,B2C,Coding for Kids,Struggling,2010,Lack of personalized feedback in mass coding for kids coaching.,"Live, interactive coding for kids taught by top 1% educators.",0.31,0.2,0.74
Doubtnut,Edtech,B2C,Doubt Resolution,Acquired,2016,Outdated curriculums fail to teach doubt resolution effectively.,Cohort-based courses focusing purely on doubt resolution.,0.73,0.49,0.45
Classplus,Edtech,B2B,Educator Tools,Success,2018,High-quality educator tools is too expensive for the 99% in Tier 3 cities.,"Live, interactive educator tools taught by top 1% educators.",0.76,0.8,0.35
Teachmint,Edtech,B2B,Teaching Infrastructure,Success,2020,Outdated curriculums fail to teach teaching infrastructure effectively.,Gamified mobile app teaching teaching infrastructure through micro-lessons.,0.93,0.63,0.33
Delhivery,Logistics,B2B,E-commerce Logistics,Success,2011,Lack of visibility and real-time tracking for e-commerce logistics.,Dark-store network ensuring 10-minute delivery for e-commerce logistics.,0.9,0.69,0.24
Xpressbees,Logistics,B2B,End-to-end Logistics,Success,2015,High inter-city freight costs for end-to-end logistics.,Dark-store network ensuring 10-minute delivery for end-to-end logistics.,0.8,0.67,0.29
Shadowfax,Logistics,B2B2C,Last-mile Delivery,Success,2015,High RTO (Return to Origin) rates and slow delivery in last-mile delivery.,IoT sensors heavily tracking temperature and location for last-mile delivery.,0.87,0.83,0.34
Ecom Express,Logistics,B2B,E-commerce fulfillment,Success,2012,High RTO (Return to Origin) rates and slow delivery in e-commerce fulfillment.,Dark-store network ensuring 10-minute delivery for e-commerce fulfillment.,0.95,0.7,0.39
Freight Tiger,Logistics,B2B,Freight Management,Active/Growing,2014,High RTO (Return to Origin) rates and slow delivery in freight management.,Asset-light tech network optimizing paths for freight management.,0.71,0.51,0.32
BlackBuck,Logistics,B2B,Trucking Network,Success,2015,High RTO (Return to Origin) rates and slow delivery in trucking network.,Asset-light tech network optimizing paths for trucking network.,0.7,0.86,0.38
Rivigo,Logistics,B2B,Relay Trucking,Struggling,2014,High RTO (Return to Origin) rates and slow delivery in relay trucking.,IoT sensors heavily tracking temperature and location for relay trucking.,0.44,0.15,0.76
Shiprocket,Logistics,B2B,E-commerce Shipping,Success,2017,High RTO (Return to Origin) rates and slow delivery in e-commerce shipping.,IoT sensors heavily tracking temperature and location for e-commerce shipping.,0.82,0.68,0.22
ElasticRun,Logistics,B2B,Kirana Network,Success,2015,High RTO (Return to Origin) rates and slow delivery in kirana network.,IoT sensors heavily tracking temperature and location for kirana network.,0.85,0.62,0.37
Ola Electric,Mobility/EV,B2C,Electric Scooters,Success,2017,Disjointed data silos in electric scooters reduce operational efficiency.,"A highly intuitive, cloud-native electric scooters platform.",0.74,0.8899999999999999,0.49
Ather Energy,Mobility/EV,B2C,Premium Electric Scooters,Success,2013,Current premium electric scooters systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for premium electric scooters.,0.59,0.8400000000000001,0.5599999999999999
Yulu,Mobility/EV,B2C,Micro-mobility,Active/Growing,2017,Enterprise teams spend 30% of their time manually managing micro-mobility.,"A highly intuitive, cloud-native micro-mobility platform.",0.6,0.97,0.67
Simple Energy,Mobility/EV,B2C,Electric Vehicles,Active/Growing,2019,Disjointed data silos in electric vehicles reduce operational efficiency.,"A highly intuitive, cloud-native electric vehicles platform.",0.5599999999999999,0.8200000000000001,0.66
Bounce,Mobility,B2C,Scooter Rental,Struggling,2014,Current scooter rental systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies scooter rental data.,0.23,0.18,0.94
Vogo,Mobility,B2C,Bike Rental,Acquired,2016,Enterprise teams spend 30% of their time manually managing bike rental.,No-code drag-and-drop tool for bike rental.,0.52,0.49,0.66
Rapido,Mobility,B2C,Bike Taxi,Success,2015,Disjointed data silos in bike taxi reduce operational efficiency.,"A highly intuitive, cloud-native bike taxi platform.",0.89,0.71,0.3
Chalo,Mobility,B2C,Bus Tracking,Active/Growing,2014,Disjointed data silos in bus tracking reduce operational efficiency.,No-code drag-and-drop tool for bus tracking.,0.81,0.79,0.48
Shuttl,Mobility,B2C,Bus Aggregator,Acquired,2015,Enterprise teams spend 30% of their time manually managing bus aggregator.,No-code drag-and-drop tool for bus aggregator.,0.63,0.59,0.59
BluSmart,Mobility/EV,B2C,EV Ride Hailing,Success,2019,Disjointed data silos in ev ride hailing reduce operational efficiency.,No-code drag-and-drop tool for ev ride hailing.,0.78,0.8500000000000001,0.59
Swiggy,Foodtech,B2C,Food Delivery,Success,2014,High real-estate costs make independent food delivery unprofitable.,Algorithm-based meal preparation focused on {product_focus.lower()}.,0.75,0.9,0.31
Zepto,Foodtech,B2C,Quick Commerce,Success,2021,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",Algorithm-based meal preparation focused on {product_focus.lower()}.,0.87,0.61,0.39
Blinkit,Foodtech,B2C,Quick Commerce,Success,2013,Hyperlocal delivery for quick commerce takes too long and uses poor packaging.,Algorithm-based meal preparation focused on {product_focus.lower()}.,0.8,0.65,0.36
Rebel Foods,Foodtech,B2C,Cloud Kitchens,Success,2011,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",Aggregated fleet offering 15-minute delivery for cloud kitchens.,0.75,0.81,0.22
FreshMenu,Foodtech,B2C,Cloud Kitchen,Struggling,2014,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",A massive cloud-kitchen network pumping out high-quality cloud kitchen.,0.46,0.34,0.77
EatClub,Foodtech,B2C,Cloud Kitchen Brands,Active/Growing,2012,"Consumers lack healthy, fast {product_focus.lower()} options during work hours.",A massive cloud-kitchen network pumping out high-quality cloud kitchen brands.,0.74,0.68,0.6
Biryani By Kilo,Foodtech,B2C,Premium Delivery,Active/Growing,2015,Hyperlocal delivery for premium delivery takes too long and uses poor packaging.,A massive cloud-kitchen network pumping out high-quality premium delivery.,0.8,0.64,0.3
CropIn,Agritech,B2B,Farm Management SaaS,Success,2010,Disjointed data silos in farm management saas reduce operational efficiency.,No-code drag-and-drop tool for farm management saas.,0.81,0.7,0.21
Ninjacart,Agritech,B2B,Fresh Produce Supply Chain,Success,2015,Enterprise teams spend 30% of their time manually managing fresh produce supply chain.,An AI-powered dashboard that unifies fresh produce supply chain data.,0.82,0.74,0.3
DeHaat,Agritech,B2B,Agri Services,Success,2012,Disjointed data silos in agri services reduce operational efficiency.,An AI-powered dashboard that unifies agri services data.,0.94,0.68,0.28
AgroStar,Agritech,B2C,Agri Inputs,Active/Growing,2013,Current agri inputs systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for agri inputs.,0.72,0.78,0.57
WayCool,Agritech,B2B,Agri Supply Chain,Success,2015,Current agri supply chain systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies agri supply chain data.,0.94,0.65,0.36
Absolute Foods,Agritech,B2B,Precision Agriculture,Active/Growing,2015,Disjointed data silos in precision agriculture reduce operational efficiency.,No-code drag-and-drop tool for precision agriculture.,0.72,0.51,0.48
Postman,SaaS,B2B,API Platform,Success,2014,Enterprise teams spend 30% of their time manually managing api platform.,An AI-powered dashboard that unifies api platform data.,0.72,0.8,0.25
BrowserStack,SaaS,B2B,Software Testing,Success,2011,Disjointed data silos in software testing reduce operational efficiency.,An AI-powered dashboard that unifies software testing data.,0.83,0.67,0.34
Chargebee,SaaS,B2B,Subscription Billing,Success,2011,Disjointed data silos in subscription billing reduce operational efficiency.,An AI-powered dashboard that unifies subscription billing data.,0.85,0.73,0.31
Darwinbox,SaaS,B2B,HRMS,Success,2015,Current hrms systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for hrms.,0.74,0.83,0.44
Innovaccer,SaaS,B2B,Healthcare Data Platform,Success,2014,Current healthcare data platform systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies healthcare data platform data.,0.88,0.74,0.38
Whatfix,SaaS,B2B,Digital Adoption,Success,2014,Disjointed data silos in digital adoption reduce operational efficiency.,No-code drag-and-drop tool for digital adoption.,0.8,0.82,0.36
MoEngage,SaaS,B2B,Customer Engagement,Success,2014,Enterprise teams spend 30% of their time manually managing customer engagement.,An AI-powered dashboard that unifies customer engagement data.,0.7,0.88,0.35
Clevertap,SaaS,B2B,User Retention,Success,2013,Enterprise teams spend 30% of their time manually managing user retention.,An AI-powered dashboard that unifies user retention data.,0.79,0.69,0.37
Hasura,SaaS,B2B,GraphQL Engine,Success,2017,Enterprise teams spend 30% of their time manually managing graphql engine.,No-code drag-and-drop tool for graphql engine.,0.76,0.85,0.36
Zenoti,SaaS,B2B,Spa & Salon Software,Success,2010,Current spa & salon software systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for spa & salon software.,0.92,0.65,0.24
Mindtickle,SaaS,B2B,Sales Readiness,Success,2011,Current sales readiness systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for sales readiness.,0.79,0.89,0.33
Yellow.ai,SaaS,B2B,Conversational AI,Success,2016,Enterprise teams spend 30% of their time manually managing conversational ai.,An AI-powered dashboard that unifies conversational ai data.,0.92,0.67,0.32
Haptik,SaaS,B2B,Conversational AI,Acquired,2013,Current conversational ai systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for conversational ai.,0.73,0.65,0.65
Observe.ai,SaaS,B2B,Contact Center AI,Success,2017,Current contact center ai systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for contact center ai.,0.88,0.7,0.26
FarEye,SaaS,B2B,Delivery Management,Active/Growing,2013,Enterprise teams spend 30% of their time manually managing delivery management.,No-code drag-and-drop tool for delivery management.,0.65,0.53,0.35
Locus,SaaS,B2B,Supply Chain Intelligence,Active/Growing,2015,Enterprise teams spend 30% of their time manually managing supply chain intelligence.,An AI-powered dashboard that unifies supply chain intelligence data.,0.8,0.7,0.45
PharmEasy,Healthtech,B2C,Online Pharmacy,Success,2015,Current online pharmacy systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for online pharmacy.,0.79,0.84,0.36
1mg,Healthtech,B2C,E-pharmacy & Diagnostics,Acquired,2015,Disjointed data silos in e-pharmacy & diagnostics reduce operational efficiency.,An AI-powered dashboard that unifies e-pharmacy & diagnostics data.,0.6,0.47,0.5
Cult.fit,Healthtech,B2C,Fitness Centers,Success,2016,Disjointed data silos in fitness centers reduce operational efficiency.,No-code drag-and-drop tool for fitness centers.,0.89,0.74,0.39
HealthifyMe,Healthtech,B2C,Fitness Tracking,Success,2012,Current fitness tracking systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies fitness tracking data.,0.78,0.68,0.32
Wysa,Healthtech,B2C,Mental Health AI,Active/Growing,2015,Current mental health ai systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native mental health ai platform.",0.85,0.73,0.38
Qure.ai,Healthtech,B2B,Medical Imaging AI,Success,2016,Current medical imaging ai systems are archaic and require 6-month integrations.,"A highly intuitive, cloud-native medical imaging ai platform.",0.8,0.66,0.28
Mfine,Healthtech,B2C,Teleconsultation,Acquired,2017,Disjointed data silos in teleconsultation reduce operational efficiency.,No-code drag-and-drop tool for teleconsultation.,0.75,0.6,0.57
Mobile Premier League,Gaming,B2C,Mobile eSports,Success,2018,Disjointed data silos in mobile esports reduce operational efficiency.,An AI-powered dashboard that unifies mobile esports data.,0.94,0.72,0.29
ShareChat,Media,B2C,Vernacular Social Network,Success,2015,Disjointed data silos in vernacular social network reduce operational efficiency.,An AI-powered dashboard that unifies vernacular social network data.,0.71,0.7,0.21
Glance,Media,B2B2C,Lock Screen Content,Success,2019,Enterprise teams spend 30% of their time manually managing lock screen content.,"A highly intuitive, cloud-native lock screen content platform.",0.95,0.68,0.39
Loco,Gaming,B2C,Game Streaming,Active/Growing,2017,Enterprise teams spend 30% of their time manually managing game streaming.,"A highly intuitive, cloud-native game streaming platform.",0.66,0.66,0.31
Rooter,Gaming,B2C,Game Streaming,Active/Growing,2016,Enterprise teams spend 30% of their time manually managing game streaming.,An AI-powered dashboard that unifies game streaming data.,0.68,0.63,0.33
Pratilipi,Media,B2C,Storytelling Platform,Active/Growing,2014,Enterprise teams spend 30% of their time manually managing storytelling platform.,"A highly intuitive, cloud-native storytelling platform platform.",0.73,0.51,0.34
Kuku FM,Media,B2C,Audio Content,Success,2018,Enterprise teams spend 30% of their time manually managing audio content.,No-code drag-and-drop tool for audio content.,0.9,0.67,0.34
Pocket FM,Media,B2C,Audio Series,Success,2018,Current audio series systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies audio series data.,0.94,0.77,0.23
Inc42,Media,B2B,Startup Media,Success,2014,Disjointed data silos in startup media reduce operational efficiency.,An AI-powered dashboard that unifies startup media data.,0.84,0.89,0.25
Polygon,Web3,B2B,Ethereum Scaling Solutions,Success,2017,Disjointed data silos in ethereum scaling solutions reduce operational efficiency.,An AI-powered dashboard that unifies ethereum scaling solutions data.,0.71,0.61,0.32
Biconomy,Web3,B2B,Web3 Infrastructure,Active/Growing,2019,Disjointed data silos in web3 infrastructure reduce operational efficiency.,No-code drag-and-drop tool for web3 infrastructure.,0.76,0.61,0.35
Instadapp,Web3,B2C,DeFi Wallets,Active/Growing,2018,Enterprise teams spend 30% of their time manually managing defi wallets.,No-code drag-and-drop tool for defi wallets.,0.76,0.67,0.41
Urban Company,Services,B2C,Home Services,Success,2014,Enterprise teams spend 30% of their time manually managing home services.,No-code drag-and-drop tool for home services.,0.87,0.6,0.41
Dunzo,Logistics,B2C,Hyperlocal Delivery,Struggling,2015,High RTO (Return to Origin) rates and slow delivery in hyperlocal delivery.,Asset-light tech network optimizing paths for hyperlocal delivery.,0.26,0.12,0.78
Bounce,Mobility,B2C,Scooter Sharing,Struggling,2014,Enterprise teams spend 30% of their time manually managing scooter sharing.,"A highly intuitive, cloud-native scooter sharing platform.",0.28,0.36,0.85
Trell,E-commerce,B2C,Lifestyle Social Commerce,Struggling,2017,Fragmented supply chains cause 40% margin loss in lifestyle social commerce.,D2C brand leveraging Instagram to sell authentic lifestyle social commerce.,0.48,0.53,0.79
Bulbul,E-commerce,B2C,Live Video Commerce,Dead,2018,Fragmented supply chains cause 40% margin loss in live video commerce.,An integrated marketplace that ships live video commerce directly from manufacturers.,0.26,0.55,0.82
Shop101,E-commerce,B2B2C,Social Commerce,Acquired,2015,Fragmented supply chains cause 40% margin loss in social commerce.,An integrated marketplace that ships social commerce directly from manufacturers.,0.56,0.67,0.54
GlowRoad,E-commerce,B2B2C,Social Commerce,Acquired,2017,Traditional retailers cannot compete with massive aggregators in social commerce.,An integrated marketplace that ships social commerce directly from manufacturers.,0.67,0.42,0.69
Campuskart,E-commerce,B2C,Student Marketplace,Failed,2016,Tier 2/3 cities lack access to authentic student marketplace online.,An integrated marketplace that ships student marketplace directly from manufacturers.,0.24,0.14,0.77
DrinkPrime,D2C,B2C,Water Purifier Subs,Active/Growing,2016,Disjointed data silos in water purifier subs reduce operational efficiency.,"A highly intuitive, cloud-native water purifier subs platform.",0.65,0.65,0.53
AuntieMoms,D2C,B2C,Healthy Snacks,Failed,2018,Disjointed data silos in healthy snacks reduce operational efficiency.,"A highly intuitive, cloud-native healthy snacks platform.",0.41,0.5,0.73
Furlenco,E-commerce,B2C,Furniture Rental,Struggling,2012,Tier 2/3 cities lack access to authentic furniture rental online.,Social commerce platform using WhatsApp for furniture rental.,0.29,0.45,0.71
Rentomojo,E-commerce,B2C,Furniture Rental,Active/Growing,2014,Fragmented supply chains cause 40% margin loss in furniture rental.,Social commerce platform using WhatsApp for furniture rental.,0.68,0.59,0.52
NoBroker,Proptech,B2C,Zero Brokerage Real Estate,Success,2014,Current zero brokerage real estate systems are archaic and require 6-month integrations.,An AI-powered dashboard that unifies zero brokerage real estate data.,0.92,0.79,0.23
Nestaway,Proptech,B2C,Home Rentals,Acquired,2015,Enterprise teams spend 30% of their time manually managing home rentals.,"A highly intuitive, cloud-native home rentals platform.",0.54,0.61,0.59
Zolo,Proptech,B2C,Co-living,Active/Growing,2015,Current co-living systems are archaic and require 6-month integrations.,No-code drag-and-drop tool for co-living.,0.81,0.62,0.39
Stanza Living,Proptech,B2C,Student Co-living,Success,2017,Disjointed data silos in student co-living reduce operational efficiency.,No-code drag-and-drop tool for student co-living.,0.79,0.69,0.29
Square Yards,Proptech,B2C,Real Estate Brokerage,Active/Growing,2014,Disjointed data silos in real estate brokerage reduce operational efficiency.,"A highly intuitive, cloud-native real estate brokerage platform.",0.65,0.75,0.44
Livspace,Proptech,B2C,Home Interior,Success,2014,Enterprise teams spend 30% of their time manually managing home interior.,No-code drag-and-drop tool for home interior.,0.79,0.82,0.4
HomeLane,Proptech,B2C,Home Design,Active/Growing,2014,Enterprise teams spend 30% of their time manually managing home design.,An AI-powered dashboard that unifies home design data.,0.81,0.57,0.43
Exotel,SaaS,B2B,Cloud Telephony,Success,2011,Enterprise teams spend 30% of their time manually managing cloud telephony.,An AI-powered dashboard that unifies cloud telephony data.,0.76,0.65,0.33
Vakilsearch,SaaS,B2B,Legal Services,Active/Growing,2011,Disjointed data silos in legal services reduce operational efficiency.,No-code drag-and-drop tool for legal services.,0.81,0.54,0.46
